input_index,reference,sentiment,text_key,title,author,date,period,mode,genre,gender,birthdate,nationality,role,source,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39,Topic 40,Topic 41,Topic 42,Topic 43,Topic 44,Topic 45,Topic 46,Topic 47,Topic 48,Topic 49,Topic 50,Topic 51,Topic 52,Topic 53,Topic 54,Topic 55,Topic 56,Topic 57,Topic 58,Topic 59,Topic 60
297,Hawthorne_Tanglewood_2,0.9955,Hawthorne_Tanglewood,Tanglewood Tales,"Hawthorne, Nathaniel",1853.0,,,,m,1804.0,American,,pb-manual,97.75,0.0,2.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
298,Hawthorne_Tanglewood_3,0.9963,Hawthorne_Tanglewood,Tanglewood Tales,"Hawthorne, Nathaniel",1853.0,,,,m,1804.0,American,,pb-manual,4.06,0.0,0.6,0.0,0.0,6.15,3.03,0.0,2.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.11,0.0,0.0,0.0,0.0,49.56,0.0,0.0,0.0,0.0,0.0,0.0,4.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,6.14,1.48,0.0,0.0,0.0,0.0,8.46,0.0,4.62,5.6,0.0,0.0,0.0
299,Hawthorne_Tanglewood_4,-0.1219,Hawthorne_Tanglewood,Tanglewood Tales,"Hawthorne, Nathaniel",1853.0,,,,m,1804.0,American,,pb-manual,0.0,0.0,3.05,0.0,0.0,0.0,0.0,0.0,5.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,1.25,0.0,1.03,0.0,0.0,0.0,0.0,65.7,0.0,0.0,0.0,0.0,0.0,1.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,5.04,0.0,9.24,2.19,0.0,0.0,4.17
300,Hawthorne_Tanglewood_5,0.9575,Hawthorne_Tanglewood,Tanglewood Tales,"Hawthorne, Nathaniel",1853.0,,,,m,1804.0,American,,pb-manual,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,99.18,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
301,Hawthorne_TheGorgons_1,0.9997,Hawthorne_TheGorgons,"The Gorgon's Head
(From: 'A Wonder-Book for Girls and Boys')","Hawthorne, Nathaniel",1851.0,,,,m,1804.0,American,,pb-manual,0.0,0.0,0.0,0.0,0.0,2.78,0.08,0.0,3.38,0.0,0.0,0.0,19.4,27.2,19.92,0.0,0.0,0.0,0.0,0.0,1.51,2.57,0.0,0.0,6.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05,0.0,0.0,0.0,0.0,0.0,0.0,4.63,0.2,3.56,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,5.98,0.0,0.0
302,Hawthorne_TheGorgons_2,0.9998,Hawthorne_TheGorgons,"The Gorgon's Head
(From: 'A Wonder-Book for Girls and Boys')","Hawthorne, Nathaniel",1851.0,,,,m,1804.0,American,,pb-manual,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.23,0.0,53.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.91,0.0,0.0,0.0,3.85,0.0,0.0,6.62,2.18,0.0,0.0,0.0
303,Hawthorne_TheGorgons_3,0.9991,Hawthorne_TheGorgons,"The Gorgon's Head
(From: 'A Wonder-Book for Girls and Boys')","Hawthorne, Nathaniel",1851.0,,,,m,1804.0,American,,pb-manual,0.0,1.16,78.39,0.0,0.01,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.19,0.0,1.42,0.0,0.0,0.0,0.0,0.0,2.23,0.0,0.0,2.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
304,Hawthorne_TheGorgons_4,0.9974,Hawthorne_TheGorgons,"The Gorgon's Head
(From: 'A Wonder-Book for Girls and Boys')","Hawthorne, Nathaniel",1851.0,,,,m,1804.0,American,,pb-manual,0.0,81.05,16.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0
305,Hawthorne_TheHaunted_1,0.7635,Hawthorne_TheHaunted,The Haunted Mind (From 'Twice Told Tales'),"Hawthorne, Nathaniel",1837.0,,,,m,1804.0,American,,pb-manual,0.0,0.0,0.0,0.0,0.0,11.34,0.0,0.0,2.73,20.53,0.0,10.58,2.74,0.0,0.0,0.0,0.0,1.33,0.0,12.26,0.0,0.0,0.0,0.0,0.14,15.31,0.0,0.0,0.0,7.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.12,0.0,0.0,0.0,5.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,0.0,0.0,0.0,0.0,0.0,0.0
306,Hawthorne_TheHouseOf_1,0.9996,Hawthorne_TheHouseOf,The House Of The Seven Gables,"Hawthorne, Nathaniel",1851.0,,Novel,Gothic,m,1804.0,American,Central,colors,13.38,0.0,0.02,0.0,0.0,2.33,0.0,0.0,0.0,0.54,0.0,0.0,1.95,14.49,0.0,0.0,20.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.71,4.08,0.25,0.0,0.16,2.54,0.0,0.0,0.0,0.0,10.62,0.0,0.0,0.11,0.0,3.89,0.0,2.4,0.0,0.13,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.63,0.0,0.0,0.0,0.0,1.05,1.96
