"input_index","reference","sentiment","text_key","title","author","date","period","mode","genre","gender","birthdate","nationality","role","source","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15","Topic 16","Topic 17","Topic 18","Topic 19","Topic 20","Topic 21","Topic 22","Topic 23","Topic 24","Topic 25","Topic 26","Topic 27","Topic 28","Topic 29","Topic 30","Topic 31","Topic 32","Topic 33","Topic 34","Topic 35","Topic 36","Topic 37","Topic 38","Topic 39","Topic 40","Topic 41","Topic 42","Topic 43","Topic 44","Topic 45","Topic 46","Topic 47","Topic 48","Topic 49","Topic 50","Topic 51","Topic 52","Topic 53","Topic 54","Topic 55","Topic 56","Topic 57","Topic 58","Topic 59","Topic 60","Topic 61","Topic 62","Topic 63","Topic 64","Topic 65","Topic 66","Topic 67","Topic 68","Topic 69","Topic 70","Topic 71","Topic 72","Topic 73"
195,"Corelli_TheSorrows_9","1.0","Corelli_TheSorrows","The Sorrows of Satan","Corelli, Marie",1895,,,,"f",1855,"English",,"pb-under","0.43","0.16","1.18","3.13","1.35","0.86","3.09","2.96","3.06","1.79","0.37","1.94","0.85","0.35","1.23","0.15","0.35","0.56","3.37","0.06","1.95","0.0","0.47","0.15","1.1","0.0","0.43","0.32","8.67","1.3","2.54","0.55","0.53","1.57","1.48","0.15","0.54","2.56","0.75","0.02","0.0","4.41","1.12","0.0","1.77","1.13","0.45","0.93","0.23","0.44","9.88","3.73","0.94","0.54","0.93","0.7","0.0","0.11","0.0","3.21","1.02","1.2","0.81","0.68","2.52","2.05","0.43","0.25","1.0","4.06","2.01","1.04","0.1"
196,"Corelli_TheSorrows_10","0.9999","Corelli_TheSorrows","The Sorrows of Satan","Corelli, Marie",1895,,,,"f",1855,"English",,"pb-under","0.05","0.17","1.89","1.43","3.31","1.38","2.75","2.18","1.94","2.47","0.39","2.11","0.5","0.6","2.11","0.18","0.53","1.14","1.24","0.0","0.57","0.21","0.17","0.0","0.51","0.0","0.47","1.19","5.36","0.9","5.53","1.2","0.28","2.3","6.43","0.0","1.36","2.56","0.88","0.67","0.0","6.24","0.58","0.0","1.23","2.04","0.09","1.86","0.91","0.17","4.38","1.25","1.48","0.38","0.0","0.47","0.0","0.14","0.18","2.08","0.41","0.56","2.0","1.14","1.81","1.67","0.05","0.11","2.18","4.38","1.27","2.52","1.45"
197,"Corelli_TheSorrows_11","0.9999","Corelli_TheSorrows","The Sorrows of Satan","Corelli, Marie",1895,,,,"f",1855,"English",,"pb-under","0.2","0.0","1.04","0.82","2.4","0.26","3.37","3.33","1.73","1.39","0.34","4.1","0.16","0.54","1.41","0.0","0.95","1.25","1.57","0.07","1.03","0.0","0.19","0.08","0.01","0.0","0.0","2.35","2.78","0.64","3.02","0.53","0.0","1.51","2.69","0.85","0.62","3.07","1.86","0.09","0.56","11.3","0.72","0.28","1.5","0.73","0.51","0.89","1.85","0.16","3.2","1.97","0.98","0.75","1.18","1.29","0.14","0.41","0.0","3.6","0.93","0.66","1.18","1.8","1.49","1.49","0.78","0.55","1.93","4.52","1.96","1.28","3.13"
198,"Corelli_TheSorrows_12","-0.9975","Corelli_TheSorrows","The Sorrows of Satan","Corelli, Marie",1895,,,,"f",1855,"English",,"pb-under","0.11","0.74","1.27","1.48","2.9","1.3","0.64","4.81","2.87","0.29","0.32","3.42","0.77","0.01","4.16","0.26","0.02","1.63","1.78","0.0","0.64","0.0","0.66","0.0","0.75","0.0","0.38","0.62","1.61","1.2","6.9","0.89","0.52","2.53","2.14","0.54","1.33","2.66","2.66","0.33","0.18","2.21","0.95","0.12","3.36","1.55","0.78","1.54","1.86","0.16","3.73","1.96","1.3","0.47","0.04","2.2","0.07","0.38","0.26","2.18","0.39","0.57","1.82","0.62","0.98","1.63","0.05","0.0","1.44","6.79","1.52","0.73","3.03"
199,"Corelli_TheSorrows_13","0.9999","Corelli_TheSorrows","The Sorrows of Satan","Corelli, Marie",1895,,,,"f",1855,"English",,"pb-under","0.01","0.28","2.48","1.86","1.31","1.13","1.2","8.89","0.86","0.01","0.01","1.76","0.01","0.01","3.84","0.01","0.01","5.09","2.03","0.01","3.32","0.01","0.13","0.01","0.01","0.01","0.01","0.38","4.54","0.59","0.76","0.01","0.07","4.09","4.42","0.01","1.63","7.28","0.24","0.01","0.02","4.02","0.01","0.01","2.78","0.7","0.01","3.1","0.9","0.01","2.51","9.85","1.68","0.78","0.01","0.66","0.01","0.01","0.59","0.35","0.01","0.01","1.36","0.4","1.74","0.6","0.01","1.25","1.92","2.76","1.27","1.76","0.7"
200,"Blackwood_TheEmptyHo_1","-0.9996","Blackwood_TheEmptyHo","The Empty House and Other Ghost Stories","Blackwood, Algernon",1906,,,,"m",1869,"English",,"pb-under","0.05","0.46","5.63","1.34","4.89","1.95","0.04","2.29","0.48","5.32","0.55","4.97","0.31","0.08","0.0","0.01","0.6","5.72","1.24","0.0","0.04","0.0","0.12","0.1","0.17","0.02","0.08","0.0","1.14","0.05","2.18","0.37","0.0","0.66","1.92","0.68","0.85","3.64","9.67","0.0","0.0","1.02","0.24","0.0","2.98","1.82","0.6","4.04","2.49","0.42","8.59","2.86","1.05","0.88","0.0","1.99","0.17","0.5","0.0","1.54","0.42","0.14","1.22","0.0","1.39","0.65","0.01","0.0","0.97","3.86","0.05","0.69","1.73"
201,"Blackwood_TheEmptyHo_2","-0.9997","Blackwood_TheEmptyHo","The Empty House and Other Ghost Stories","Blackwood, Algernon",1906,,,,"m",1869,"English",,"pb-under","0.0","0.24","1.51","0.57","6.58","1.49","1.12","0.3","1.79","2.4","0.44","4.1","0.0","0.22","0.86","0.0","0.36","31.1","1.03","0.0","0.0","0.0","0.27","0.0","0.23","0.06","0.83","0.01","0.51","0.0","2.45","0.37","0.12","2.06","2.4","0.0","0.87","0.7","1.97","0.12","0.0","3.32","0.0","0.04","1.49","2.47","0.16","0.93","0.01","0.38","4.23","0.6","0.36","0.34","0.13","0.29","0.0","1.67","0.16","4.44","1.12","0.29","0.54","0.48","2.48","0.0","0.0","0.64","1.9","1.83","0.07","0.14","2.37"
202,"Blackwood_TheEmptyHo_3","0.9998","Blackwood_TheEmptyHo","The Empty House and Other Ghost Stories","Blackwood, Algernon",1906,,,,"m",1869,"English",,"pb-under","0.01","0.08","2.64","2.08","5.77","0.34","0.81","1.78","1.04","3.3","0.31","2.66","0.25","0.0","1.58","0.0","0.22","9.32","0.66","0.0","0.0","0.02","0.28","0.0","0.22","0.0","0.13","0.01","5.97","0.0","1.02","0.87","0.0","3.47","0.94","0.0","0.77","3.5","0.96","0.0","0.0","2.21","0.22","0.0","17.22","2.63","0.23","0.44","3.31","0.48","4.79","0.8","0.0","0.1","0.0","0.75","0.67","0.61","0.0","2.64","1.43","0.0","0.06","0.0","1.96","0.52","0.53","0.19","0.93","2.09","0.0","0.02","4.1"
203,"Blackwood_TheEmptyHo_4",-543,"Blackwood_TheEmptyHo","The Empty House and Other Ghost Stories","Blackwood, Algernon",1906,,,,"m",1869,"English",,"pb-under","0.44","0.88","5.39","2.15","4.05","2.86","0.71","2.13","0.88","4.22","0.0","6.88","1.89","0.0","0.0","0.0","0.02","4.04","0.54","0.0","0.49","0.0","1.19","0.2","1.7","0.0","0.65","0.0","0.6","0.04","2.43","0.18","0.0","3.55","1.32","0.12","0.71","0.81","1.8","0.0","0.0","1.28","0.02","0.0","2.78","1.89","1.62","2.31","1.2","0.31","7.04","1.28","0.0","0.85","2.05","2.79","0.0","1.17","0.17","4.51","0.9","1.25","0.56","0.04","3.07","0.0","0.26","0.4","1.37","5.03","0.0","0.58","2.31"
204,"Blackwood_TheEmptyHo_5","-0.9971","Blackwood_TheEmptyHo","The Empty House and Other Ghost Stories","Blackwood, Algernon",1906,,,,"m",1869,"English",,"pb-under","0.82","0.0","1.09","1.43","5.45","1.24","1.85","2.21","1.64","1.31","0.11","5.18","0.43","0.01","1.8","0.0","0.22","4.4","2.18","0.0","0.0","0.03","0.34","0.18","0.35","0.09","0.0","0.0","0.83","0.14","1.94","0.19","0.0","1.07","6.97","0.0","1.95","0.41","1.91","0.0","0.0","6.12","0.27","0.0","1.56","1.88","1.4","0.78","1.83","0.07","12.77","1.91","0.21","0.3","0.88","1.81","0.28","0.43","0.4","1.63","0.78","0.31","2.11","0.26","1.72","0.74","0.81","0.02","3.37","6.41","0.27","0.0","0.83"
