"input_index","reference","sentiment","text_key","title","author","date","period","mode","genre","gender","birthdate","nationality","role","source","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15","Topic 16","Topic 17","Topic 18","Topic 19","Topic 20","Topic 21","Topic 22","Topic 23","Topic 24","Topic 25","Topic 26","Topic 27","Topic 28","Topic 29","Topic 30","Topic 31","Topic 32","Topic 33","Topic 34","Topic 35","Topic 36","Topic 37","Topic 38","Topic 39","Topic 40","Topic 41","Topic 42","Topic 43","Topic 44","Topic 45","Topic 46","Topic 47","Topic 48","Topic 49","Topic 50","Topic 51","Topic 52","Topic 53","Topic 54","Topic 55","Topic 56","Topic 57","Topic 58","Topic 59","Topic 60","Topic 61","Topic 62","Topic 63","Topic 64","Topic 65","Topic 66","Topic 67","Topic 68","Topic 69","Topic 70","Topic 71","Topic 72","Topic 73"
0,"Aikin_SirBertran_1","-0.9201","Aikin_SirBertran","Sir Bertrand, A Fragment","Aikin, John and Anna Laetitia",1773,"Romantic","Fragment","Gothic",,,"English","Central","colors","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","43.55","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","17.79","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","36.64","0.03","0.03","0.03"
1,"Ainsworth_OldSaintPa_1","0.9773","Ainsworth_OldSaintPa","Old Saint Paul's: A Tale of the Plague and the Fire","Ainsworth, William Harrison",1841,,,,"m",1805,"English",,"pb-manual","0.19","2.68","0.36","1.12","2.18","1.21","0.34","1.0","0.5","0.67","0.0","0.69","1.21","0.69","0.59","0.02","0.03","0.38","0.57","0.18","0.87","0.0","0.12","0.02","3.18","0.0","0.01","0.11","1.43","0.51","0.89","2.03","0.01","15.89","2.46","0.0","11.91","2.7","2.77","0.01","0.25","2.96","0.0","0.0","2.22","0.13","0.03","0.03","1.28","5.52","7.06","0.68","9.87","0.0","0.01","0.58","0.89","0.95","0.0","1.6","0.0","0.13","0.16","0.31","1.17","0.0","0.0","0.35","0.89","2.27","0.24","0.0","0.85"
2,"Ainsworth_Rookwood_1","0.9989","Ainsworth_Rookwood","Rookwood","Ainsworth, William Harrison",1834,,"Novel","Gothic","m",1805,"English","Central","colors","0.25","0.49","0.91","1.05","7.0","1.43","0.54","1.57","1.35","2.61","0.01","2.64","0.36","0.81","0.96","0.07","0.0","2.17","1.9","0.08","0.69","0.04","0.25","0.38","0.52","0.14","0.12","0.21","1.25","1.79","3.91","0.0","0.0","2.18","1.02","0.51","1.56","2.38","2.04","1.04","0.07","3.16","0.8","1.41","3.07","2.01","0.32","1.25","1.8","0.67","5.24","5.1","0.32","0.59","0.43","1.13","0.44","0.51","0.0","1.81","0.95","0.58","0.91","0.65","2.13","0.54","0.43","0.18","2.91","12.59","0.84","0.0","0.9"
3,"Ainsworth_TheLancash_1","-0.9998","Ainsworth_TheLancash","The Lancashire Witches: A Romance of Pendle Forest","Ainsworth, William Harrison",1848,,,,"m",1805,"English",,"pb-manual","0.0","0.43","0.0","0.18","8.61","0.83","0.0","1.36","0.01","0.43","0.0","0.02","0.0","1.98","0.27","0.0","0.29","0.0","2.85","0.0","0.0","0.0","0.0","0.0","0.0","0.44","0.47","0.0","0.0","1.57","0.39","0.02","0.0","1.01","54.75","0.0","0.2","0.54","0.07","0.0","0.0","0.33","1.13","0.0","0.4","0.0","0.0","0.79","7.57","0.0","0.37","0.02","0.36","0.0","0.0","0.0","0.81","3.76","0.33","0.21","5.82","0.09","0.0","0.23","0.37","0.0","0.0","0.0","0.23","0.22","0.11","0.0","0.0"
4,"Austen_Northanger_1","1.0","Austen_Northanger","Northanger Abbey","Austen, Jane",1817,,,,"f",1775,"English",,"gutenberg","0.21","0.01","0.01","2.16","11.04","4.61","3.06","0.33","3.96","1.46","0.01","7.04","0.04","0.01","0.06","0.01","0.01","1.89","0.93","0.01","1.95","0.01","0.01","1.41","0.01","0.01","0.01","0.01","1.35","0.21","1.26","0.01","0.01","0.32","0.55","0.01","0.27","1.29","2.24","0.01","0.01","0.02","0.01","0.01","0.22","0.01","0.01","0.01","0.01","0.01","16.46","0.21","0.12","0.01","5.66","0.3","0.01","0.01","0.01","6.79","0.76","3.34","0.84","0.82","6.64","0.56","0.01","1.11","3.25","3.79","0.5","0.01","0.8"
5,"Bangs_GhostsIHav_1","0.9937","Bangs_GhostsIHav","Ghosts I Have Met and Some Others","Bangs, John Kendrick",1898,,,,"m",1862,"American",,"gutenberg","0.39","0.01","0.39","0.26","2.53","8.84","1.24","0.89","1.15","2.87","0.77","33.96","0.31","0.0","0.36","0.0","0.0","0.73","0.84","0.09","0.52","0.01","0.0","0.0","0.0","0.0","0.0","0.0","2.14","0.04","2.26","0.0","0.52","3.4","1.55","0.0","0.75","1.67","0.36","0.0","0.0","5.61","0.17","0.0","0.0","1.05","0.61","0.45","0.36","0.29","0.21","1.48","0.49","0.45","0.17","0.18","0.0","1.59","0.92","0.44","0.53","0.0","3.78","0.11","8.06","0.59","0.13","0.0","0.25","1.97","1.1","0.08","0.0"
6,"Bangs_Toppletons_1","0.9999","Bangs_Toppletons","Toppleton's Client; Or, A Spirit in Exile","Bangs, John Kendrick",1893,,,,"m",1862,"American",,"gutenberg","0.0","0.71","0.87","0.68","10.97","4.35","0.34","0.82","3.14","1.12","1.34","7.57","3.29","0.02","1.06","0.48","0.0","0.55","3.45","0.0","0.4","0.0","0.52","1.09","2.02","0.0","0.5","0.0","1.02","1.4","2.19","0.0","0.0","1.82","1.05","0.19","1.54","0.93","0.49","0.06","0.08","2.19","0.33","0.0","0.06","0.7","0.23","0.53","1.29","0.23","6.86","1.4","0.0","0.21","0.08","1.64","0.0","0.5","1.26","3.89","1.12","1.24","0.41","0.15","8.92","1.84","0.17","0.85","4.13","2.1","0.29","0.0","1.26"
7,"Barnard_TheAbbotsG_1","1.0","Barnard_TheAbbotsG","The Abbot's Ghost, or Maurice Treherne's Temptation: A Christmas Story","Barnard, A. M.",1867,,,,"f",1832,"American",,"gutenberg","0.01","0.01","1.24","1.06","2.34","0.07","0.45","1.49","0.01","5.21","0.09","10.17","1.57","0.35","1.74","0.01","1.0","0.73","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","2.91","0.3","3.16","0.01","0.02","0.93","0.23","0.01","1.13","3.87","1.26","0.01","0.01","1.64","0.1","0.01","1.65","1.78","0.4","0.37","2.49","0.01","25.76","0.65","0.01","0.01","0.01","0.35","0.01","0.01","0.01","1.86","2.54","0.01","1.43","0.01","1.88","2.63","0.01","0.01","1.35","11.11","0.12","0.4","0.01"
8,"Barrett_TheHeroine_1","1.0","Barrett_TheHeroine","The Heroine","Barrett, Eaton Stannard",1813,"Romantic","Novel","Gothic Parody","m",1820,"Irish","Central","colors","0.07","0.45","1.86","2.02","16.63","2.75","1.95","0.93","1.02","0.58","0.54","2.32","0.86","0.72","1.31","0.0","0.81","1.28","2.15","0.0","0.28","0.0","0.9","0.32","0.36","0.0","1.1","0.01","2.94","1.17","1.94","0.13","0.0","0.69","1.28","0.54","0.64","3.66","1.0","0.08","0.08","0.88","0.48","0.1","5.73","0.67","1.03","1.07","0.95","0.17","3.9","2.75","1.92","0.58","1.27","1.7","0.01","0.59","0.0","2.25","0.7","0.88","3.29","1.07","2.36","1.64","0.02","0.17","1.51","3.1","1.34","0.0","2.48"
9,"Beattie_TheMinstre_1","1.0","Beattie_TheMinstre","The Minstrel, Or The Progress Of Genius. A Poem","Beattie, James",1771,"Romantic","Poetry",,"m",1735,"Scottish","Peripheral","colors","0.37","0.29","0.85","1.55","7.01","0.78","1.69","2.14","2.56","0.45","0.0","1.79","0.59","3.26","1.77","0.14","0.52","1.4","1.1","0.19","2.03","0.0","0.71","0.48","0.0","0.08","0.92","1.57","3.18","3.91","2.03","0.23","0.29","2.61","2.46","2.09","0.75","5.26","0.17","0.37","0.87","1.38","6.15","0.01","4.06","0.91","1.33","0.51","1.13","0.38","5.81","2.39","0.52","0.48","0.18","0.72","0.16","0.01","2.5","1.17","2.64","1.43","0.16","0.41","1.16","1.68","0.0","0.95","0.61","1.45","0.83","0.39","0.0"
10,"Beckford_TheHistory_1","1.0","Beckford_TheHistory","The History of Caliph Vathek","Beckford, William",1786,"Romantic","Novella","Oriental Tale","m",1760,"English","Central","colors","1.05","1.13","1.09","2.32","9.21","2.3","1.03","2.02","4.59","2.6","0.04","2.61","0.26","1.97","3.41","0.0","0.23","1.59","0.69","0.1","0.65","0.0","2.58","0.4","0.5","0.19","0.24","0.86","2.59","3.33","2.24","0.48","0.37","0.0","1.75","0.06","1.6","4.0","1.03","0.35","0.0","0.23","0.26","0.26","5.67","0.52","0.77","0.26","0.69","0.03","5.36","2.45","3.77","0.27","0.25","0.3","0.21","0.0","0.34","3.69","0.26","0.09","1.36","0.08","4.0","1.01","0.44","1.08","0.67","1.99","0.87","0.77","0.58"
11,"Bierce_AnOccurren_1","0.9936","Bierce_AnOccurren","An Occurrence at Owl Creek Bridge","Bierce, Ambrose",1890,,,,"m",1842,"American",,"pb-manual","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.9","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","1.19","0.01","0.01","20.87","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","1.09","0.33","1.87","0.01","63.15","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","5.63","3.87","0.42","0.01","0.01","0.01"
12,"Bierce_TheDamnedT_1","-0.9987","Bierce_TheDamnedT","The Damned Thing
1898, From 'In the Midst of Life'","Bierce, Ambrose",1898,,,,"m",1842,"American",,"pb-manual","0.01","0.01","0.01","0.01","0.26","0.01","0.01","4.09","4.98","22.61","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","11.23","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","22.45","0.01","0.01","0.05","0.01","0.01","0.01","0.53","0.01","0.01","0.01","0.01","0.01","0.01","0.01","13.95","0.01","0.01","0.01","0.01","0.01","0.01","0.58","0.01","0.01","0.01","0.01","0.01","6.74","0.01","11.63","0.01","0.01","0.01","0.01"
13,"Bierce_TheDeathOf_1","-0.9991","Bierce_TheDeathOf","The Death Of Halpin Frayser","Bierce, Ambrose",1891,,"Short Story","Gothic","m",1842,"American","Peripheral","colors","0.01","0.01","0.81","5.33","4.07","2.38","2.6","0.42","2.29","6.33","0.01","5.08","0.01","0.24","0.61","0.01","0.7","0.16","1.04","0.01","0.56","0.01","0.01","0.01","6.09","0.01","0.01","0.01","1.92","1.43","1.79","0.82","0.01","1.03","0.58","0.01","0.01","2.25","1.36","0.01","0.01","1.32","0.88","0.01","3.78","3.97","0.01","0.16","0.01","3.06","1.99","1.37","0.01","2.29","0.01","2.18","0.01","0.01","0.01","2.76","1.36","1.45","0.09","0.01","3.0","1.56","0.13","0.01","3.09","7.86","0.01","7.58","0.01"
14,"Bierce_TheDevilsD_1","0.9998","Bierce_TheDevilsD","The Devil's Dictionary","Bierce, Ambrose",1906,,,,"m",1842,"American",,"pb-manual","0.66","0.13","1.83","1.55","4.44","0.34","3.26","1.35","1.55","2.08","0.73","4.06","3.47","1.1","2.66","0.02","0.0","1.25","2.06","0.35","1.47","0.34","1.56","0.19","2.68","0.49","1.02","1.27","3.11","0.6","1.25","0.15","0.66","2.08","0.36","0.84","1.36","1.7","1.96","0.66","0.69","2.96","1.33","0.08","2.19","3.14","0.92","2.6","0.72","0.11","2.75","1.13","0.61","0.61","0.33","1.23","0.87","0.86","0.17","0.58","2.11","1.43","1.04","0.62","3.4","1.65","0.19","0.85","1.9","2.08","2.75","0.75","0.72"
15,"Blackwood_TheWillows_1","0.9993","Blackwood_TheWillows","The Willows","Blackwood, Algernon",1907,"Edwardian","Novella","Gothic","m",1869,"English","Peripheral","colors","0.01","0.0","1.41","0.25","1.62","0.46","0.0","0.97","0.0","14.11","0.0","2.0","0.0","0.01","0.0","0.01","0.0","0.46","0.0","0.0","0.08","0.0","0.0","0.0","0.0","0.0","0.01","0.0","0.3","0.0","1.05","0.0","0.0","1.52","0.38","0.34","3.21","1.14","0.01","0.0","0.0","0.51","0.42","0.0","0.16","0.02","0.26","0.0","0.22","0.04","56.27","0.84","0.0","0.0","0.0","0.16","0.0","0.46","0.0","4.03","0.37","0.06","0.44","0.0","0.02","0.0","0.09","0.0","4.98","1.07","0.11","0.0","0.0"
16,"Bonhote_BungayCast_1","1.0","Bonhote_BungayCast","Bungay Castle. A Novel","Bonhote, Elizabeth",1796,"Romantic","Novel","Gothic","f",1744,"English","Peripheral","colors","0.4","0.68","0.0","1.66","6.36","1.34","0.92","0.25","6.78","4.1","0.25","4.5","0.0","1.76","0.01","0.16","0.0","0.7","0.42","0.08","0.81","0.34","0.69","0.2","1.51","0.0","0.0","0.77","2.92","7.72","0.83","0.33","0.0","0.92","0.54","0.69","2.03","5.85","1.56","0.38","0.0","1.24","0.2","0.0","2.16","0.34","0.05","0.54","0.05","0.0","9.9","1.65","3.68","0.0","0.44","2.05","0.21","0.01","0.0","1.96","0.51","1.21","1.13","0.66","4.21","1.31","0.16","0.91","1.45","4.57","0.48","0.0","0.43"
17,"Brontë_JaneEyre_1","-0.9992","Brontë_JaneEyre","Jane Eyre","Brontë, Charlotte",1847,"Victorian","Novel","Gothic","f",1816,"English","Central","colors","0.27","0.5","1.17","2.36","3.29","2.22","1.62","1.61","1.98","1.69","0.18","3.8","0.0","2.07","2.19","0.24","0.0","2.65","3.69","0.0","1.19","0.15","0.14","0.82","0.02","0.07","1.03","0.81","1.81","0.58","0.24","0.04","0.01","2.34","2.72","0.61","1.21","0.84","4.39","0.0","0.0","2.34","0.14","0.0","4.01","2.6","0.11","0.5","1.85","0.13","6.27","2.97","0.09","0.43","0.87","1.52","0.03","0.07","0.17","3.6","0.27","0.43","1.79","0.5","3.37","4.51","0.37","0.02","2.49","4.46","0.8","0.01","2.72"
18,"Brontë_Villette_1","0.9999","Brontë_Villette","Villette","Brontë, Charlotte",1850,"Victorian","Novel","Gothic","f",1816,"English","Peripheral","colors","0.63","0.21","0.5","1.91","10.05","3.2","0.47","1.65","2.91","0.34","0.34","3.72","0.0","0.27","0.79","0.25","0.24","0.31","2.79","0.0","7.4","0.0","0.34","0.07","0.59","0.13","0.0","0.0","3.79","0.5","3.64","0.0","0.11","0.34","2.77","0.0","2.01","1.93","1.8","0.11","0.0","0.82","0.0","0.0","0.56","4.0","0.0","2.46","1.38","0.0","5.59","3.32","2.31","0.0","0.37","0.3","0.09","0.0","0.06","3.32","1.26","0.27","1.14","4.05","2.09","1.6","0.0","1.03","1.71","3.72","0.65","0.82","0.87"
19,"Brontë_WutheringH_1","-0.9985","Brontë_WutheringH","Wuthering Heights","Brontë, Emily",1847,"Victorian","Novel","Gothic","f",1816,"English","Central","colors","0.55","0.13","1.5","1.55","8.73","0.96","0.3","1.44","4.35","0.79","0.01","6.42","0.85","0.85","2.22","0.05","0.23","1.27","2.87","0.0","0.48","0.0","0.98","0.32","1.23","0.1","0.31","0.03","2.71","1.95","1.54","1.75","0.35","2.49","3.85","0.32","0.64","2.85","1.74","0.31","0.0","3.46","0.66","0.01","2.15","1.29","1.62","1.05","0.63","0.24","4.24","0.92","0.43","0.09","0.06","0.67","0.0","1.07","0.09","2.76","0.98","0.22","2.18","0.92","2.73","0.84","0.14","0.28","2.15","5.07","0.91","0.33","2.8"
20,"Brown_ArthurMerv_1","0.9997","Brown_ArthurMerv","Arthur Mervyn; Or, Memoirs Of The Year 1793","Brown, Charles Brockden",1799,,"Novel","Gothic","m",1771,"American","Central","colors","1.24","0.0","1.78","5.16","9.61","0.0","1.62","0.3","2.74","4.18","0.5","4.06","0.25","1.24","0.96","0.1","0.48","0.93","1.78","0.09","0.46","0.85","1.19","0.77","0.59","0.39","0.24","0.24","1.4","5.86","1.38","0.09","0.23","1.71","0.46","0.7","2.55","6.49","1.02","1.29","0.0","1.18","0.18","0.28","0.65","0.75","1.09","1.62","1.78","0.41","7.3","2.92","0.25","0.0","0.59","0.34","0.3","0.16","0.0","3.58","0.46","0.97","0.42","0.85","3.38","0.65","0.22","0.73","1.22","1.14","0.15","0.0","1.45"
21,"Brown_EdgarHuntl_1","-0.9994","Brown_EdgarHuntl","Edgar Huntly; or, Memoirs of a Sleep-Walker","Brown, Charles Brockden",1799,,,,"m",1771,"American",,"pb-manual","0.44","1.46","0.4","3.31","8.16","1.27","1.23","0.91","1.08","4.14","0.8","1.96","0.21","1.08","1.4","0.13","0.52","2.23","1.95","0.29","0.33","0.03","1.48","0.01","0.2","0.03","0.0","0.74","1.52","0.76","0.36","0.47","0.35","1.15","0.96","1.02","0.97","10.63","1.48","1.59","0.46","0.5","0.58","0.86","2.68","0.66","0.79","0.9","0.51","0.25","5.55","0.88","1.33","0.02","0.54","2.14","0.0","0.0","0.09","2.73","0.67","1.31","0.71","0.49","4.16","1.31","0.33","1.27","2.65","6.22","0.36","0.0","1.95"
22,"Brown_WielandOrT_1","0.9997","Brown_WielandOrT","Wieland; Or, The Transformation: An American Tale","Brown, Charles Brockden",1798,,"Novel","Gothic","m",1771,"American","Central","colors","0.05","0.82","0.34","3.71","3.9","0.59","0.87","0.38","1.27","4.9","0.48","4.17","0.25","0.65","1.48","0.54","0.01","2.23","1.27","0.12","0.42","0.0","0.83","0.09","0.72","0.47","0.15","0.61","1.06","2.31","2.71","0.21","0.0","0.92","0.42","0.33","0.49","5.97","2.92","0.49","0.0","0.15","0.41","0.17","1.62","0.1","0.93","0.88","0.69","0.0","12.99","2.2","0.96","0.0","0.24","1.93","0.0","0.0","0.0","4.85","0.26","0.53","3.13","0.24","8.94","1.02","0.04","1.69","0.96","3.67","0.69","0.0","1.51"
23,"Burney_CamillaOrA_1","1.0","Burney_CamillaOrA","Camilla, Or A Picture Of Youth","Burney, Frances",1796,"Romantic","Novel","Gothic","f",1752,"English","Peripheral","colors","0.0","1.1","0.97","1.03","8.53","0.27","0.43","0.43","2.29","2.53","1.04","3.84","0.49","1.26","0.79","0.14","0.09","0.86","0.19","0.17","0.39","0.06","2.54","0.83","1.08","0.21","0.0","0.33","2.1","1.28","1.25","0.07","0.0","0.96","0.37","0.94","2.01","6.97","1.14","0.0","0.0","1.03","0.01","0.0","0.98","0.38","0.42","0.37","2.09","0.8","15.32","0.0","0.66","0.0","0.12","0.92","0.66","0.47","0.0","3.74","0.62","0.47","2.83","0.52","5.32","0.67","0.0","2.75","0.2","7.45","0.39","0.39","1.44"
24,"Burton_Vikramandt_1","0.9999","Burton_Vikramandt","Vikram and the Vampire: Classic Hindu Tales of Adventure, Magic, and Romance","Burton, Sir Richard Francis",1870,,,,"m",1821,"English",,"gutenberg","0.02","0.31","0.75","5.51","3.29","2.28","0.65","0.78","1.19","0.65","0.45","1.93","1.12","0.59","0.64","0.0","0.0","1.58","0.62","0.0","1.93","0.0","0.67","0.43","0.68","0.05","0.44","0.33","1.4","2.85","2.41","0.0","1.11","1.8","1.05","0.43","0.74","8.45","3.48","0.87","0.0","0.41","0.31","0.0","3.44","1.42","0.43","0.72","0.58","0.05","10.77","2.4","1.25","0.1","0.35","1.65","0.14","0.05","0.49","3.81","0.83","0.59","3.55","1.71","2.58","1.79","0.1","0.26","0.43","5.2","1.01","0.0","2.08"
25,"Byron_Manfred_1",996,"Byron_Manfred","Manfred","Byron, Lord George Gordon",1816,"Romantic","Drama","Gothic","m",1788,"English","Central","colors","0.0","0.0","1.03","0.2","5.84","0.23","0.0","2.55","1.49","0.9","0.0","5.53","0.23","0.08","1.1","0.0","0.04","0.64","0.31","0.0","0.77","0.0","2.69","0.0","0.0","0.0","0.21","3.29","3.4","1.27","1.84","0.4","0.0","1.72","3.22","0.0","1.21","2.74","0.48","1.89","0.48","4.65","0.53","0.17","23.46","0.85","1.48","4.96","1.32","0.48","1.48","3.54","1.48","0.06","0.0","0.19","0.24","0.0","0.47","0.48","3.17","0.18","0.11","0.04","0.55","0.86","0.0","0.0","1.13","1.93","0.35","0.0","0.0"
26,"Byron_TheGiaour_1","-0.9996","Byron_TheGiaour","The Giaour","Byron, Lord George Gordon",1813,"Romantic","Poetry","Narrative Poem","m",1788,"English","Central","colors","0.01","0.0","2.15","0.69","3.86","0.23","0.0","2.9","2.13","0.47","0.0","1.52","0.0","2.9","2.41","0.0","0.35","0.98","0.99","0.0","0.75","0.0","2.13","0.0","0.0","0.03","0.17","0.92","1.7","2.0","2.29","0.33","0.0","5.03","1.31","0.26","1.75","9.49","0.0","0.76","0.63","1.92","0.31","1.12","14.59","0.79","0.98","1.46","1.25","1.13","4.92","2.81","0.82","0.45","0.16","0.24","0.0","0.05","3.71","0.04","3.08","0.24","0.36","0.25","0.79","0.93","0.12","0.55","1.17","3.54","0.29","0.65","0.12"
27,"Carver_TheHorrors_1","-0.9985","Carver_TheHorrors","The Horrors Of Oakendale Abbey","Carver, Mrs.",1797,"Romantic","Novel","Gothic","m",1768,"English","Peripheral","colors","0.15","0.2","0.37","1.38","11.68","2.1","0.08","0.65","0.54","0.84","0.08","8.65","0.0","2.85","1.4","1.33","0.01","2.14","1.92","0.0","0.63","0.0","0.73","0.0","0.21","0.0","0.15","0.0","2.72","0.28","1.24","0.31","0.0","3.6","0.23","0.01","0.06","2.09","4.49","0.5","0.0","0.07","0.03","0.0","0.13","0.43","0.55","0.48","4.47","0.0","14.84","0.67","2.16","0.0","0.39","1.4","0.07","0.13","0.0","2.86","0.88","0.83","1.3","0.34","2.91","2.28","0.0","0.8","1.39","6.53","0.39","0.0","0.0"
28,"Chambers_InSearchof_1","0.9999","Chambers_InSearchof","In Search of the Unknown","Chambers, Robert William",1904,,,,"m",1865,"American",,"pb-manual","0.09","0.0","3.34","1.06","16.25","4.11","0.45","2.88","1.47","0.84","0.24","2.33","1.73","0.05","2.61","0.7","0.26","2.1","1.21","0.21","0.19","0.0","0.49","0.22","0.0","3.84","0.78","4.74","0.73","0.16","0.2","0.64","0.0","1.62","1.71","0.35","0.1","0.54","0.39","0.17","0.28","0.66","0.24","1.64","0.76","1.52","1.07","1.17","0.11","1.69","1.64","0.75","0.81","0.07","0.67","0.88","0.32","3.09","0.56","3.46","1.09","0.0","1.68","2.4","6.64","1.53","0.31","0.02","1.45","0.55","3.66","0.19","0.27"
29,"Chambers_TheHiddenC_1","0.9997","Chambers_TheHiddenC","The Hidden Children","Chambers, Robert William",1914,,,,"m",1865,"American",,"pb-manual","0.11","0.08","0.81","1.2","4.73","3.95","1.01","0.67","1.34","5.36","0.0","10.78","1.19","1.44","1.71","0.0","0.0","2.11","1.19","0.19","0.01","0.12","0.78","0.0","0.0","0.5","0.25","0.74","1.24","0.0","0.34","0.61","0.0","0.79","1.97","0.17","0.14","0.72","0.52","0.0","0.0","1.77","2.81","0.09","2.13","14.19","0.65","0.68","2.12","0.1","5.51","3.55","0.65","0.0","0.0","0.79","0.99","0.36","0.62","3.54","2.37","0.0","1.37","0.19","1.44","0.0","0.54","0.0","2.12","2.96","0.76","0.24","0.65"
30,"Chambers_TheKingInY_1","0.9996","Chambers_TheKingInY","The King In Yellow","Chambers, Robert William",1895,,"Short Story Collection","Gothic","m",1865,"American","Peripheral","colors","0.16","0.0","1.84","1.22","6.24","0.76","1.7","1.03","5.24","5.7","0.52","3.56","0.42","0.12","1.09","0.0","0.41","2.04","1.28","0.21","0.3","0.0","0.34","0.56","1.6","0.0","0.56","0.21","2.32","0.36","2.38","1.33","0.0","2.31","4.42","0.22","1.21","1.44","2.57","0.13","0.0","2.67","1.16","0.0","1.53","5.33","0.54","0.87","2.42","0.5","5.96","2.95","0.02","0.05","0.61","0.84","0.2","1.7","0.67","3.0","1.9","0.94","0.64","1.09","2.45","0.45","0.52","0.1","0.92","2.52","0.67","0.63","0.32"
31,"Clarke_ForTheTerm_1","-0.9935","Clarke_ForTheTerm","For The Term Of His Natural Life","Clarke, Marcus",1874,"Victorian","Novel","Gothic","m",1846,"English-Australian","Peripheral","colors","0.82","0.73","0.56","1.25","6.75","1.89","0.21","3.43","1.71","7.3","0.0","2.81","0.23","0.67","0.6","0.0","0.0","2.77","1.44","0.0","0.97","0.0","0.13","0.11","0.26","0.04","1.2","0.24","1.82","0.72","1.67","0.0","0.22","2.07","1.46","0.2","0.08","2.56","0.79","0.26","0.0","1.27","0.12","0.14","2.91","6.68","2.41","1.99","2.34","0.0","12.53","1.7","0.26","0.0","0.75","0.87","0.06","0.63","0.18","3.61","0.74","0.0","0.33","0.43","3.03","0.6","0.0","0.03","3.61","3.17","0.64","0.0","0.93"
32,"Coleridge_Christabel_1","0.9992","Coleridge_Christabel","Christabel","Coleridge, Samuel Taylor",1798,"Romantic","Poetry","Gothic","m",1772,"English","Central","colors","0.01","0.01","0.01","0.01","14.24","0.01","0.01","0.01","0.15","0.01","0.01","0.01","0.01","51.03","0.01","0.01","0.01","0.01","4.07","0.01","0.01","0.01","0.46","0.01","0.01","0.01","0.01","0.01","0.01","0.01","6.29","0.01","0.01","0.04","0.37","0.01","0.01","0.01","0.01","0.01","0.01","0.01","2.97","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","5.11","0.01","0.55","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","13.7","0.37","0.01","0.01","0.01"
33,"Coleridge_TheRimeOfT_1","0.9917","Coleridge_TheRimeOfT","The Rime Of The Ancient Mariner","Coleridge, Samuel Taylor",1798,"Romantic","Poetry","Gothic","m",1772,"English","Central","colors","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","1.89","0.01","0.01","0.03","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","74.07","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","1.86","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","21.28","0.01","0.01","0.01","0.01"
34,"Collins_TheMoonsto_1","0.9999","Collins_TheMoonsto","The Moonstone","Collins, Wilkie",1868,,,,"m",1824,"English",,"pb-manual","0.63","0.01","0.33","1.15","4.18","3.28","0.37","3.01","1.42","4.57","0.01","1.5","0.01","0.75","7.64","0.01","0.01","4.97","1.94","0.01","0.26","0.01","0.01","0.12","1.71","0.01","1.19","0.01","0.03","0.01","3.07","0.08","0.01","0.01","0.01","0.01","0.01","1.34","0.19","0.01","0.01","1.73","0.63","0.41","4.67","0.58","0.53","0.01","0.01","0.01","6.91","5.28","0.01","0.01","2.11","0.31","0.64","0.01","0.01","7.8","2.05","0.22","0.01","0.01","9.24","0.44","0.01","0.01","1.28","10.32","0.01","0.01","0.91"
