input_index,reference,text_key,title,author,date,period,mode,genre,gender,birthdate,nationality,role (central/peripheral/influence),source,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39,Topic 40,Topic 41,Topic 42,Topic 43,Topic 44,Topic 45,Topic 46,Topic 47,Topic 48,Topic 49,Topic 50,Topic 51
12,Ainsworth_TheLancash_2,Ainsworth_TheLancash,The Lancashire Witches: A Romance of Pendle Forest,"Ainsworth, William Harrison",1848.0,,,,m,1805.0,English,,pb-manual,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.93,1.92,1.93,1.93,1.92,1.93,1.92,1.92,1.92,1.92,1.93,1.92,1.92,1.93,1.91,1.92,1.93,1.93,1.93,1.91,1.93,1.92,1.92,1.92,1.92,1.91,1.93,1.93,1.93,1.93,1.92,1.92,1.92,1.93,1.91,1.92,1.92,1.92,1.92,1.93,1.92,1.92
13,Ainsworth_TheLancash_3,Ainsworth_TheLancash,The Lancashire Witches: A Romance of Pendle Forest,"Ainsworth, William Harrison",1848.0,,,,m,1805.0,English,,pb-manual,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.93,1.92,1.93,1.93,1.92,1.93,1.92,1.92,1.92,1.92,1.93,1.92,1.92,1.93,1.91,1.92,1.93,1.93,1.93,1.91,1.93,1.92,1.92,1.92,1.92,1.91,1.93,1.93,1.93,1.93,1.92,1.92,1.92,1.93,1.91,1.92,1.92,1.92,1.92,1.93,1.92,1.92
14,Ainsworth_TheLancash_4,Ainsworth_TheLancash,The Lancashire Witches: A Romance of Pendle Forest,"Ainsworth, William Harrison",1848.0,,,,m,1805.0,English,,pb-manual,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.93,1.92,1.93,1.93,1.92,1.93,1.92,1.92,1.92,1.92,1.93,1.92,1.92,1.93,1.91,1.92,1.93,1.93,1.93,1.91,1.93,1.92,1.92,1.92,1.92,1.91,1.93,1.93,1.93,1.93,1.92,1.92,1.92,1.93,1.91,1.92,1.92,1.92,1.92,1.93,1.92,1.92
15,Ainsworth_TheLancash_5,Ainsworth_TheLancash,The Lancashire Witches: A Romance of Pendle Forest,"Ainsworth, William Harrison",1848.0,,,,m,1805.0,English,,pb-manual,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.93,1.92,1.93,1.93,1.92,1.93,1.92,1.92,1.92,1.92,1.93,1.92,1.92,1.93,1.91,1.92,1.93,1.93,1.93,1.91,1.93,1.92,1.92,1.92,1.92,1.91,1.93,1.93,1.93,1.93,1.92,1.92,1.92,1.93,1.91,1.92,1.92,1.92,1.92,1.93,1.92,1.92
16,Austen_Northanger_1,Austen_Northanger,Northanger Abbey,"Austen, Jane",1817.0,,,,f,1775.0,English,,gutenberg,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.93,1.92,1.93,1.93,1.92,1.93,1.92,1.92,1.92,1.92,1.93,1.92,1.92,1.93,1.91,1.92,1.93,1.93,1.93,1.91,1.93,1.92,1.92,1.92,1.92,1.91,1.93,1.93,1.93,1.93,1.92,1.92,1.92,1.93,1.91,1.92,1.92,1.92,1.92,1.93,1.92,1.92
17,Austen_Northanger_2,Austen_Northanger,Northanger Abbey,"Austen, Jane",1817.0,,,,f,1775.0,English,,gutenberg,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.93,1.92,1.93,1.93,1.92,1.93,1.92,1.92,1.92,1.92,1.93,1.92,1.92,1.93,1.91,1.92,1.93,1.93,1.93,1.91,1.93,1.92,1.92,1.92,1.92,1.91,1.93,1.93,1.93,1.93,1.92,1.92,1.92,1.93,1.91,1.92,1.92,1.92,1.92,1.93,1.92,1.92
18,Austen_Northanger_3,Austen_Northanger,Northanger Abbey,"Austen, Jane",1817.0,,,,f,1775.0,English,,gutenberg,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.93,1.92,1.93,1.93,1.92,1.93,1.92,1.92,1.92,1.92,1.93,1.92,1.92,1.93,1.91,1.92,1.93,1.93,1.93,1.91,1.93,1.92,1.92,1.92,1.92,1.91,1.93,1.93,1.93,1.93,1.92,1.92,1.92,1.93,1.91,1.92,1.92,1.92,1.92,1.93,1.92,1.92
19,Austen_Northanger_4,Austen_Northanger,Northanger Abbey,"Austen, Jane",1817.0,,,,f,1775.0,English,,gutenberg,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.93,1.92,1.93,1.93,1.92,1.93,1.92,1.92,1.92,1.92,1.93,1.92,1.92,1.93,1.91,1.92,1.93,1.93,1.93,1.91,1.93,1.92,1.92,1.92,1.92,1.91,1.93,1.93,1.93,1.93,1.92,1.92,1.92,1.93,1.91,1.92,1.92,1.92,1.92,1.93,1.92,1.92
20,Bangs_GhostsIHav_1,Bangs_GhostsIHav,Ghosts I Have Met and Some Others,"Bangs, John Kendrick",1898.0,,,,m,1862.0,American,,gutenberg,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.93,1.92,1.93,1.93,1.92,1.93,1.92,1.92,1.92,1.92,1.93,1.92,1.92,1.93,1.91,1.92,1.93,1.93,1.93,1.91,1.93,1.92,1.92,1.92,1.92,1.91,1.93,1.93,1.93,1.93,1.92,1.92,1.92,1.93,1.91,1.92,1.92,1.92,1.92,1.93,1.92,1.92
21,Bangs_GhostsIHav_2,Bangs_GhostsIHav,Ghosts I Have Met and Some Others,"Bangs, John Kendrick",1898.0,,,,m,1862.0,American,,gutenberg,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.92,1.93,1.92,1.93,1.93,1.92,1.93,1.92,1.92,1.92,1.92,1.93,1.92,1.92,1.93,1.91,1.92,1.93,1.93,1.93,1.91,1.93,1.92,1.92,1.92,1.92,1.91,1.93,1.93,1.93,1.93,1.92,1.92,1.92,1.93,1.91,1.92,1.92,1.92,1.92,1.93,1.92,1.92
